f, module, argument
1.820791680099462440e+01,1.000000000000000000e+00,-1.389627529060799283e-01
1.837656200388171612e+01,1.000000000000000222e+00,-1.402498511841331619e-01
1.854676923084698359e+01,9.999999999999998890e-01,-1.415488707763750131e-01
1.871855294965579120e+01,9.999999999999998890e-01,-1.428599220992880503e-01
1.889192776207666213e+01,1.000000000000000000e+00,-1.441831165920251234e-01
1.906690840512251839e+01,1.000000000000000000e+00,-1.455185667258808713e-01
1.924350975230331429e+01,1.000000000000000000e+00,-1.468663860138507138e-01
1.942174681489025545e+01,9.999999999999997780e-01,-1.482266890202782461e-01
1.960163474319185539e+01,9.999999999999998890e-01,-1.495995913705925606e-01
1.978318882784164146e+01,1.000000000000000000e+00,-1.509852097611351085e-01
1.996642450109793288e+01,9.999999999999998890e-01,-1.523836619690778493e-01
2.015135733815557373e+01,9.999999999999998890e-01,-1.537950668624331330e-01
2.033800305846980905e+01,9.999999999999998890e-01,-1.552195444101562571e-01
2.052637752709252084e+01,9.999999999999998890e-01,-1.566572156923418946e-01
2.071649675602068896e+01,9.999999999999998890e-01,-1.581082029105141673e-01
2.090837690555749973e+01,1.000000000000000222e+00,-1.595726293980130606e-01
2.110203428568595641e+01,9.999999999999998890e-01,-1.610506196304762050e-01
2.129748535745519789e+01,1.000000000000000222e+00,-1.625422992364175256e-01
2.149474673437980599e+01,1.000000000000000000e+00,-1.640477950079052838e-01
2.169383518385184217e+01,9.999999999999998890e-01,-1.655672349113367359e-01
2.189476762856620695e+01,1.000000000000000000e+00,-1.671007480983148774e-01
2.209756114795901993e+01,1.000000000000000000e+00,-1.686484649166242744e-01
2.230223297965937590e+01,1.000000000000000222e+00,-1.702105169213088687e-01
2.250880052095461892e+01,1.000000000000000000e+00,-1.717870368858531449e-01
2.271728133026904928e+01,9.999999999999998890e-01,-1.733781588134656049e-01
2.292769312865648601e+01,1.000000000000000000e+00,-1.749840179484678238e-01
2.314005380130652867e+01,1.000000000000000000e+00,-1.766047507877883116e-01
2.335438139906479194e+01,9.999999999999998890e-01,-1.782404950925626785e-01
2.357069413996727647e+01,9.999999999999998890e-01,-1.798913898998416305e-01
2.378901041078893286e+01,9.999999999999998890e-01,-1.815575755344074615e-01
2.400934876860651812e+01,1.000000000000000000e+00,-1.832391936206993199e-01
2.423172794237599348e+01,1.000000000000000000e+00,-1.849363870948497190e-01
2.445616683452446694e+01,1.000000000000000000e+00,-1.866493002168312099e-01
2.468268452255692580e+01,1.000000000000000000e+00,-1.883780785827170456e-01
2.491130026067788350e+01,9.999999999999998890e-01,-1.901228691370544788e-01
2.514203348142796557e+01,1.000000000000000000e+00,-1.918838201853526881e-01
2.537490379733570478e+01,1.000000000000000000e+00,-1.936610814066864472e-01
2.560993100258459521e+01,1.000000000000000000e+00,-1.954548038664163656e-01
2.584713507469563609e+01,1.000000000000000222e+00,-1.972651400290267310e-01
2.608653617622547927e+01,9.999999999999998890e-01,-1.990922437710831994e-01
2.632815465648021203e+01,1.000000000000000000e+00,-2.009362703943088913e-01
2.657201105324505264e+01,9.999999999999998890e-01,-2.027973766387825838e-01
2.681812609453015739e+01,1.000000000000000000e+00,-2.046757206962591114e-01
2.706652070033241131e+01,9.999999999999998890e-01,-2.065714622236121678e-01
2.731721598441376386e+01,1.000000000000000000e+00,-2.084847623564029806e-01
2.757023325609583964e+01,9.999999999999998890e-01,-2.104157837225733296e-01
2.782559402207124322e+01,9.999999999999998890e-01,-2.123646904562655480e-01
2.808331998823172526e+01,9.999999999999998890e-01,-2.143316482117715305e-01
2.834343306151309250e+01,1.000000000000000000e+00,-2.163168241776091405e-01
2.860595535175741944e+01,9.999999999999998890e-01,-2.183203870907304833e-01
2.887090917359236286e+01,9.999999999999998890e-01,-2.203425072508609084e-01
2.913831704832787040e+01,1.000000000000000000e+00,-2.223833565349704333e-01
2.940820170587063842e+01,9.999999999999997780e-01,-2.244431084118803932e-01
2.968058608665602449e+01,9.999999999999997780e-01,-2.265219379570035663e-01
2.995549334359813187e+01,1.000000000000000000e+00,-2.286200218672225781e-01
3.023294684405777843e+01,1.000000000000000222e+00,-2.307375384759044468e-01
3.051297017182869453e+01,9.999999999999998890e-01,-2.328746677680550159e-01
3.079558712914226604e+01,1.000000000000000000e+00,-2.350315913956134706e-01
3.108082173869063780e+01,9.999999999999998890e-01,-2.372084926928880177e-01
3.136869824566876375e+01,9.999999999999998890e-01,-2.394055566921353406e-01
3.165924111983522238e+01,9.999999999999998890e-01,-2.416229701392835216e-01
3.195247505759212103e+01,1.000000000000000000e+00,-2.438609215098001270e-01
3.224842498408442282e+01,1.000000000000000000e+00,-2.461196010247085064e-01
3.254711605531848306e+01,1.000000000000000000e+00,-2.483992006667507801e-01
3.284857366030043835e+01,9.999999999999997780e-01,-2.506999141967019007e-01
