w, module, argument
3.136869824566877352e+00,3.133786193901405559e-01,8.640659028696701682e+01
3.165924111983522415e+00,3.162754059716103572e-01,8.637332955852210148e+01
3.195247505759212014e+00,3.191988610952899985e-01,8.633976138266467615e+01
3.224842498408441394e+00,3.221492272360581555e-01,8.630588292911662052e+01
3.254711605531848129e+00,3.251267489879670625e-01,8.627169134187096233e+01
3.284857366030044634e+00,3.281316730803424120e-01,8.623718373896716116e+01
3.315282342319425091e+00,3.311642483939317150e-01,8.620235721226451631e+01
3.345989120549972995e+00,3.342247259771040646e-01,8.616720882721423891e+01
3.376980310825090648e+00,3.373133590620954747e-01,8.613173562262934979e+01
3.408258547423451912e+00,3.404304030812979054e-01,8.609593461045332674e+01
3.439826489022925315e+00,3.435761156835913099e-01,8.605980277552662017e+01
3.471686818926561280e+00,3.467507567507140953e-01,8.602333707535173346e+01
3.503842245290674118e+00,3.499545884136696094e-01,8.598653443985637068e+01
3.536295501355041893e+00,3.531878750691671565e-01,8.594939177115502105e+01
3.569049345675229468e+00,3.564508833960932099e-01,8.591190594330863917e+01
3.602106562357071162e+00,3.597438823720099932e-01,8.587407380208277630e+01
3.635469961293319674e+00,3.630671432896781514e-01,8.583589216470373628e+01
3.669142378402493243e+00,3.664209397736024054e-01,8.579735781961315411e+01
3.703126675869925943e+00,3.698055477965919713e-01,8.575846752622082647e+01
3.737425742391064176e+00,3.732212456963381886e-01,8.571921801465562396e+01
3.772042493416998266e+00,3.766683141919998090e-01,8.567960598551491103e+01
3.806979871402285998e+00,3.801470364007971670e-01,8.563962810961194805e+01
3.842240846055060111e+00,3.836576978546077932e-01,8.559928102772175862e+01
3.877828414589456152e+00,3.872005865165609184e-01,8.555856135032503573e+01
3.913745601980383793e+00,3.907759927976269254e-01,8.551746565735057004e+01
3.949995461220643822e+00,3.943842095731950326e-01,8.547599049791557491e+01
3.986581073580441004e+00,3.980255321996387097e-01,8.543413239006461879e+01
4.023505548869292348e+00,4.017002585308594442e-01,8.539188782050655391e+01
4.060772025700365440e+00,4.054086889348079148e-01,8.534925324434976801e+01
4.098383671757261482e+00,4.091511263099747997e-01,8.530622508483570243e+01
4.136343684063274573e+00,4.129278761018483346e-01,8.526279973307075011e+01
4.174655289253136559e+00,4.167392463193290708e-01,8.521897354775617828e+01
4.213321743847288303e+00,4.205855475511035002e-01,8.517474285491645958e+01
4.252346334528682270e+00,4.244670929819611693e-01,8.513010394762594046e+01
4.291732378422157268e+00,4.283841984090590582e-01,8.508505308573356274e+01
4.331483223376399572e+00,4.323371822581191237e-01,8.503958649558622085e+01
4.371602248248504630e+00,4.363263655995574530e-01,8.499370036974995912e+01
4.412092863191189096e+00,4.403520721645359237e-01,8.494739086672996109e+01
4.452958509942654963e+00,4.444146283609313186e-01,8.490065411068837875e+01
4.494202662119142211e+00,4.485143632892136245e-01,8.485348619116089708e+01
4.535828825510187734e+00,4.526516087582255210e-01,8.480588316277129479e+01
4.577840538376618973e+00,4.568266993008583965e-01,8.475784104494451299e+01
4.620241371751311554e+00,4.610399721896131786e-01,8.470935582161811794e+01
4.663034929742731372e+00,4.652917674520420377e-01,8.466042344095190231e+01
4.706224849841281532e+00,4.695824278860587508e-01,8.461103981503616467e+01
4.749814803228501248e+00,4.739122990751129527e-01,8.456120081959814172e+01
4.793808495089109556e+00,4.782817294032151167e-01,8.451090229370686302e+01
4.838209664925956055e+00,4.826910700698084922e-01,8.446014003947665572e+01
4.883022086877879531e+00,4.871406751044738970e-01,8.440890982176878765e+01
4.928249570040514449e+00,4.916309013814592066e-01,8.435720736789168939e+01
4.973895958790063965e+00,4.961621086340254894e-01,8.430502836729981198e+01
5.019965133110082078e+00,5.007346594685966323e-01,8.425236847129060891e+01
5.066461008921267606e+00,5.053489193787026323e-01,8.419922329270045225e+01
5.113387538414325917e+00,5.100052567587078922e-01,8.414558840559875819e+01
5.160748710385909099e+00,5.147040429173093123e-01,8.409145934498086206e+01
5.208548550577661196e+00,5.194456520907959618e-01,8.403683160645938699e+01
5.256791122018421802e+00,5.242304614560567844e-01,8.398170064595434781e+01
5.305480525369572931e+00,5.290588511433230723e-01,8.392606187938164908e+01
5.354620899273607293e+00,5.339312042486363818e-01,8.386991068234053159e+01
5.404216420705916235e+00,5.388479068460242383e-01,8.381324238979955510e+01
5.454271305329833730e+00,5.438093479993743040e-01,8.375605229578140154e+01
5.504789807854970185e+00,5.488159197739891360e-01,8.369833565304625722e+01
5.555776222398876030e+00,5.538680172478129826e-01,8.364008767277425704e+01
5.607234882852032420e+00,5.589660385223078620e-01,8.358130352424653609e+01
5.659170163246243668e+00,5.641103847329713705e-01,8.352197833452531484e+01
5.711586478126432276e+00,5.693014600594762387e-01,8.346210718813276230e+01
5.764488282925876561e+00,5.745396717354168681e-01,8.340168512672887857e+01
5.817880074344933483e+00,5.798254300576470843e-01,8.334070714878836839e+01
5.871766390733255570e+00,5.851591483951895656e-01,8.327916820927656261e+01
5.926151812475554337e+00,5.905412431977028476e-01,8.321706321932430228e+01
5.981040962380941295e+00,5.959721340034849213e-01,8.315438704590219743e+01
6.036438506075866961e+00,6.014522434469974366e-01,8.309113451149374896e+01
6.092349152400710288e+00,6.069819972658900831e-01,8.302730039376798743e+01
6.148777653810022947e+00,6.125618243075034997e-01,8.296287942525125914e+01
6.205728806776502182e+00,6.181921565348361680e-01,8.289786629299828746e+01
6.263207452198689573e+00,6.238734290319498665e-01,8.283225563826289317e+01
6.321218475812451665e+00,6.296060800087925902e-01,8.276604205616776255e+01
6.379766808606280648e+00,6.353905508054205065e-01,8.269922009537422980e+01
6.438857427240419540e+00,6.412272858955919697e-01,8.263178425775113567e+01
6.498495354469890017e+00,6.471167328897149407e-01,8.256372899804384247e+01
6.558685659571431792e+00,6.530593425371196137e-01,8.249504872354251006e+01
6.619433458774392598e+00,6.590555687276369312e-01,8.242573779375055665e+01
6.680743915695613211e+00,6.651058684924515685e-01,8.235579052005269318e+01
6.742622241778342129e+00,6.712107020042108463e-01,8.228520116538308571e+01
6.805073696735208344e+00,6.773705325763563767e-01,8.221396394389350348e+01
6.868103588995303710e+00,6.835858266616567924e-01,8.214207302062155236e+01
6.931717276155406005e+00,6.898570538499095850e-01,8.206952251115910713e+01
6.995920165435372873e+00,6.961846868647852959e-01,8.199630648132114175e+01
7.060717714137773271e+00,7.025692015597859719e-01,8.192241894681464487e+01
7.126115430111747528e+00,7.090110769132839108e-01,8.184785387290843062e+01
7.192118872221189285e+00,7.155107950226123892e-01,8.177260517410323359e+01
7.258733650817251082e+00,7.220688410971782822e-01,8.169666671380241496e+01
7.325965428215230446e+00,7.286857034505588304e-01,8.162003230398386222e+01
7.393819919175865785e+00,7.353618734915533528e-01,8.154269570487220165e+01
7.462302891391109583e+00,7.420978457141544915e-01,8.146465062461250284e+01
7.531420165974371805e+00,7.488941176864021276e-01,8.138589071894487859e+01
7.601177617955328536e+00,7.557511900380864400e-01,8.130640959088033526e+01
7.671581176779302069e+00,7.626695664472598057e-01,8.122620079037798746e+01
7.742636826811269302e+00,7.696497536255234584e-01,8.114525781402382165e+01
7.814350607844543717e+00,7.766922613020462718e-01,8.106357410471100877e+01
7.886728615614152282e+00,7.837976022062768111e-01,8.098114305132203583e+01
7.959777002314983640e+00,7.909662920493080174e-01,8.089795798841264229e+01
8.033501977124734239e+00,7.981988495038536691e-01,8.081401219589794493e+01
8.107909806731687041e+00,8.054957961827906576e-01,8.072929889874059484e+01
8.183006815867392092e+00,8.128576566162240002e-01,8.064381126664142130e+01
8.258799387844268480e+00,8.202849582270321793e-01,8.055754241373240632e+01
8.335293965098193425e+00,8.277782313048404061e-01,8.047048539827255809e+01
8.412497049736117560e+00,8.353380089783813967e-01,8.038263322234638508e+01
8.490415204088746393e+00,8.429648271861880371e-01,8.029397883156552496e+01
8.569055051268350098e+00,8.506592246455750850e-01,8.020451511477352824e+01
8.648423275731722981e+00,8.584217428198517297e-01,8.011423490375396739e+01
8.728526623848377852e+00,8.662529258837184942e-01,8.002313097294215538e+01
8.809371904473991322e+00,8.741533206867911909e-01,7.993119603914063021e+01
8.890965989529160396e+00,8.821234767152009715e-01,7.983842276123851889e+01
8.973315814583521899e+00,8.901639460512092983e-01,7.974480373993510796e+01
9.056428379445289778e+00,8.982752833307852125e-01,7.965033151746786189e+01
9.140310748756229842e+00,9.064580456990830593e-01,7.955499857734484692e+01
9.224970052592174952e+00,9.147127927637624945e-01,7.945879734408221395e+01
9.310413487069077121e+00,9.230400865460879345e-01,7.936172018294647046e+01
9.396648314954692438e+00,9.314404914297467197e-01,7.926375939970230888e+01
9.483681866285921913e+00,9.399145741073187121e-01,7.916490724036567883e+01
9.571521538991863309e+00,9.484629035243337114e-01,7.906515589096294150e+01
9.660174799522645017e+00,9.570860508208492989e-01,7.896449747729579371e+01
9.749649183484088155e+00,9.657845892704804980e-01,7.886292406471262950e+01
9.839952296278230648e+00,9.745590942168099735e-01,7.876042765788659494e+01
9.931091813749794994e+00,9.834101430071096051e-01,7.865700020060020847e+01
1.002307548283865479e+01,9.923383149232970490e-01,7.855263357553738501e+01
1.011591112223829825e+01,1.001344191110053794e+00,7.844731960408280713e+01
1.020960662306046451e+01,1.010428354500031212e+00,7.834105004612908374e+01
1.030416994950588006e+01,1.019591389736063558e+00,7.823381659989181003e+01
1.039960913954119803e+01,1.028833883090303436e+00,7.812561090173331024e+01
1.049593230558227752e+01,1.038156422380214439e+00,7.801642452599479327e+01
1.059314763518369951e+01,1.047559596881317612e+00,7.790624898483768845e+01
1.069126339173476126e+01,1.057043997236625454e+00,7.779507572809441740e+01
1.079028791516184071e+01,1.066610215362662206e+00,7.768289614312875813e+01
1.089022962263729966e+01,1.076258844351994926e+00,7.756970155470651207e+01
1.099109700929497180e+01,1.085990478372177437e+00,7.745548322487651660e+01
1.109289864895222699e+01,1.095805712561019218e+00,7.734023235286258569e+01
1.119564319483878201e+01,1.105705142918088413e+00,7.722394007496664869e+01
1.129933938033222240e+01,1.115689366192346377e+00,7.710659746448374108e+01
1.140399601970032428e+01,1.125758979765825174e+00,7.698819553162879004e+01
1.150962200885032338e+01,1.135914581533250534e+00,7.686872522347616155e+01
1.161622632608501782e+01,1.146156769777495921e+00,7.674817742391196873e+01
1.172381803286598512e+01,1.156486143040790004e+00,7.662654295359986634e+01
1.183240627458378569e+01,1.166903299991550069e+00,7.650381256996064394e+01
1.194200028133531966e+01,1.177408839286748554e+00,7.637997696716610108e+01
1.205260936870842592e+01,1.188003359429707473e+00,7.625502677614780112e+01
1.216424293857367900e+01,1.198687458623201474e+00,7.612895256462087445e+01
1.227691047988359152e+01,1.209461734617771400e+00,7.600174483712393680e+01
1.239062156947916193e+01,1.220326784555122224e+00,7.587339403507489521e+01
1.250538587290390780e+01,1.231283204806504328e+00,7.574389053684392081e+01
1.262121314522547344e+01,1.242331590805953123e+00,7.561322465784353142e+01
1.273811323186478539e+01,1.253472536878273536e+00,7.548138665063663666e+01
1.285609606943295802e+01,1.264706636061649236e+00,7.534836670506312828e+01
1.297517168657587483e+01,1.276034479924752496e+00,7.521415494838534244e+01
1.309535020482667100e+01,1.287456658378240970e+00,7.507874144545323247e+01
1.321664183946605142e+01,1.298973759480503753e+00,7.494211619888974951e+01
1.333905690039058634e+01,1.310586369237540572e+00,7.480426914929711302e+01
1.346260579298910365e+01,1.322295071396849098e+00,7.466519017548434078e+01
1.358729901902709791e+01,1.334100447235175624e+00,7.452486909471721788e+01
1.371314717753944912e+01,1.346003075340020505e+00,7.438329566299056239e+01
1.384016096573131627e+01,1.358003531384748719e+00,7.424045957532435125e+01
1.396835117988739761e+01,1.370102387897177865e+00,7.409635046608372022e+01
1.409772871628966939e+01,1.382300214021517926e+00,7.395095790932373347e+01
1.422830457214352684e+01,1.394597575273507140e+00,7.380427141915983213e+01
1.436008984651259901e+01,1.406995033288630070e+00,7.365628045016431713e+01
1.449309574126216660e+01,1.419493145563262448e+00,7.350697439778996056e+01
1.462733356201129808e+01,1.432092465188606667e+00,7.335634259882131403e+01
1.476281471909390319e+01,1.444793540577290925e+00,7.320437433185436760e+01
1.489955072852854379e+01,1.457596915182465924e+00,7.305105881780573895e+01
1.503755321299737702e+01,1.470503127209287664e+00,7.289638522045174795e+01
1.517683390283405309e+01,1.483512709318615341e+00,7.274034264699841401e+01
1.531740463702079857e+01,1.496626188322798034e+00,7.258292014868327158e+01
1.545927736419477760e+01,1.509844084873408709e+00,7.242410672140960060e+01
1.560246414366368839e+01,1.523166913140762802e+00,7.226389130641422298e+01
1.574697714643085966e+01,1.536595180485102130e+00,7.210226279096950464e+01
1.589282865622977958e+01,1.550129387119283608e+00,7.193921000912055774e+01
1.604003107056820099e+01,1.563770025762826643e+00,7.177472174245859549e+01
1.618859690178198463e+01,1.577517581287194881e+00,7.160878672093114972e+01
1.633853877809861288e+01,1.591372530352140879e+00,7.144139362369053003e+01
1.648986944471064930e+01,1.605335341033001795e+00,7.127253107998073745e+01
1.664260176485903742e+01,1.619406472438771116e+00,7.110218767006467999e+01
1.679674872092653004e+01,1.633586374320837864e+00,7.093035192619194618e+01
1.695232341554120481e+01,1.647875486672231604e+00,7.075701233360851461e+01
1.710933907269014398e+01,1.662274239317234059e+00,7.058215733160936622e+01
1.726780903884355922e+01,1.676783051491243626e+00,7.040577531463478067e+01
1.742774678408919087e+01,1.691402331410728266e+00,7.022785463341179479e+01
1.758916590327732621e+01,1.706132475833154860e+00,7.004838359614140586e+01
1.775208011717635159e+01,1.720973869606754469e+00,6.986735046973292640e+01
1.791650327363900530e+01,1.735926885209996495e+00,6.968474348108640015e+01
1.808244934877951593e+01,1.750991882280658052e+00,6.950055081842418758e+01
1.824993244816152327e+01,1.766169207134344443e+00,6.931476063267304255e+01
1.841896680799710850e+01,1.781459192272366820e+00,6.912736103889731965e+01
1.858956679635687337e+01,1.796862155878848233e+00,6.893834011778496063e+01
1.876174691439120323e+01,1.812378401306946163e+00,6.874768591718718369e+01
1.893552179756295217e+01,1.828008216554107612e+00,6.855538645371289874e+01
